,ENGLISH,TAMIL
168,ask,கேட்க
169,asleep,தூங்கும்
170,aspect,அம்சம்
171,assault,தாக்குதல்
172,assert,வலியுறுத்தும்
173,assess,மதிப்பீடு
174,assessment,மதிப்பீடு
175,asset,சொத்து
176,assign,ஒதுக்க
177,assist,உதவு
178,assistance,உதவி
179,assistant,உதவியாளர்
180,associate,இணை
181,association,சங்கம்
182,assume,கருதுவது
183,assumption,அனுமானம்
184,assure,உறுதி
185,at,மணிக்கு
186,athlete,தடகள
187,athletic,தடகள
188,atmosphere,வளிமண்டலத்தில்
189,attach,இணைக்கவும்
190,attack,தாக்குதல்
191,attempt,முயற்சிக்கும்
192,attend,இக் கூட்டத்திற்கு
193,attention,கவனம்
194,attitude,அணுகுமுறை
195,attorney,வழக்கறிஞர்
196,attract,ஈர்க்க
197,attractive,கவர்ச்சிகரமான
198,attribute,பண்பு
199,audience,பார்வையாளர்களை
200,author,நூலாசிரியர்
201,authority,அதிகாரம்
202,auto,கார்
203,available,கிடைக்கும்
204,average,சராசரி
205,avoid,தவிர்க்க
206,award,விருது
207,aware,விழிப்புடன்
208,awareness,விழிப்புணர்வு
209,away,விட்டு
210,awful,மோசமான
211,baby,குழந்தை
212,back,மீண்டும்
213,background,பின்னணி
214,bad,கெட்ட
215,badly,மோசமாக
216,bag,பையில்
217,bake,ரொட்டி சுடுவது
218,balance,சமநிலை
219,ball,பந்து
220,ban,தடை
221,band,இசைக்குழு
222,bank,வங்கி
223,bar,மதுக்கூடம்
224,barely,அரிதாகவே
225,barrel,பீப்பாய்
226,barrier,தடை
227,base,அடித்தளம்
228,baseball,பேஸ்பால்
229,basic,அடிப்படை
230,basically,அடிப்படையில்
231,basis,அடிப்படையில்
232,basket,கூடை
233,basketball,கூடைப்பந்து
234,bathroom,குளியலறையில்
235,battery,மின்கலம்
236,battle,போர்
237,be,இரு
238,beach,கடற்கரை
239,bean,பீன்
240,bear,தாங்க
241,beat,அடி
242,beautiful,அழகு
243,beauty,அழகு
244,become,ஆக
245,bed,படுக்கையில்
246,bedroom,படுக்கையறை
247,beer,பீர்
248,before,முன்
249,begin,தொடங்கும்
250,beginning,தொடக்கத்தில்
251,behavior,நடத்தை
252,behind,பின்னால்
253,belief,நம்பிக்கை
254,believe,நம்பிக்கை
255,bell,மணி
256,belong,உரியதாகும்
257,below,கீழே
258,belt,பெல்ட்
259,bench,பெஞ்ச்
260,bend,வளைவு
261,beneath,கீழே
262,benefit,நன்மை
263,beside,அருகில்
264,besides,தவிர
265,best,சிறந்த
266,bet,பந்தயம்
267,better,சிறந்த
268,between,இடையே
269,beyond,அப்பால்
270,Bible,திருவிவிலியம்
271,big,பெரிய
272,bike,உந்துஉருளி
273,bill,ர சி து
274,billion,பில்லியன்
275,bind,கட்டுதல்
276,biological,உயிரியல்
277,bird,பறவை
278,birth,பிறந்த
279,birthday,பிறந்த நாள்
280,bit,பிட்
281,bite,கடிக்க
282,black,கருப்பு
283,blade,கத்தி
284,blame,பழி
285,blanket,போர்வை
286,blind,குருட்டு
287,block,தொகுதி
288,blood,இரத்தம்
289,blow,அடி
290,blue,நீல
291,board,குழு
292,boat,படகு
293,body,உடல்
294,bomb,குண்டு
295,bombing,குண்டு
296,bond,பத்திரம்
297,bone,எலும்பு
298,book,நூல்
299,boom,பூம்
300,boot,துவக்க
301,border,எல்லை
302,born,பிறந்த
303,borrow,கடன்
304,boss,முதலாளி
305,both,இருவரும்
306,bother,தொந்தரவு
307,bottle,பாட்டில்
308,bottom,கீழே
309,bowl,கிண்ணத்தில்
310,box,பெட்டி
311,boy,சிறுவன்
312,boyfriend,காதலன்
313,brain,மூளை
314,branch,கிளை
315,brand,பிராண்ட்
316,bread,ரொட்டி
317,break,இடைவெளி
318,breakfast,காலை
319,breast,மார்பக
320,breath,மூச்சு
321,breathe,மூச்சு
322,brick,செங்கல்
323,bridge,பாலம்
324,brief,சுருக்கமான
325,briefly,சுருக்கமாக
326,bright,பிரகாசமான
327,brilliant,புத்திசாலித்தனமான
328,bring,கொண்டு
329,British,பிரிட்டிஷ்
330,broad,பரந்த
331,broken,உடைந்த
332,brother,சகோதரன்
333,brown,பழுப்பு
334,brush,தூரிகை
335,buck,பக்
336,budget,பட்ஜெட்
337,build,உருவாக்க
338,building,கட்டிடம்
339,bullet,புல்லட்
340,bunch,கொத்து
341,burden,சுமை
342,burn,எரிக்க
343,bury,அடக்கம்
344,bus,பேருந்து
345,business,வணிக
346,busy,பரபரப்பு
347,but,ஆனாலும்
348,butter,வெண்ணெய்
349,button,பொத்தானை
350,buy,வாங்க
351,buyer,வாங்குபவர்
352,by,மூலம்
353,cabin,கேபின்
354,cabinet,மந்திரி சபை
355,cable,கேபிள்
356,cake,கேக்
357,calculate,கணிப்பது
358,call,அழைப்பு
359,camera,புகைப்பட கருவி
360,camp,முகாம்
361,campaign,பிரச்சாரம்
362,campus,வளாகத்தில்
363,can,முடியும்
364,Canadian,கனடிய
365,cancer,புற்றுநோய்
366,candidate,வேட்பாளர்
367,cap,தொப்பி
368,capability,திறன்
369,capable,திறன்
370,capacity,திறன்
371,capital,தலைநகர்
372,captain,கேப்டன்
373,capture,பிடிப்பு
374,car,கார்
375,carbon,கார்பன்
376,card,அட்டை
377,care,பராமரிப்பு
378,career,வாழ்க்கை
379,carefully,கவனமாக
380,carrier,கேரியர்
381,carry,கேரி
382,case,வழக்கு
383,cash,பணம்
384,cast,நடிகர்கள்
385,cat,பூனை
386,category,வகை
387,Catholic,கத்தோலிக்க
388,cause,காரணம்
389,ceiling,உச்சவரம்பு
390,celebrate,கொண்டாட
391,celebration,கொண்டாட்டம்
392,celebrity,பிரபல
393,cell,செல்
394,center,சென்டர்
395,central,மத்திய
396,century,நூற்றாண்டு
397,CEO,தலைமை நிர்வாக அதிகாரி
398,ceremony,விழா
399,certain,சில
400,certainly,நிச்சயமாக
401,chain,சங்கிலி
402,chair,நாற்காலி
403,chairman,தலைவர்
404,challenge,சவால்
405,chamber,அறை
406,champion,சாம்பியன்
407,championship,சாம்பியன்ஷிப்
408,chance,வாய்ப்பு
409,change,மாற்றம்
410,changing,மாறிவரும்
411,channel,சேனல்
412,chapter,அத்தியாயம்
413,character,பாத்திரம்
414,characteristic,பண்பு
415,characterize,குணாதிசயம்
416,charge,கட்டணம்
417,charity,தொண்டு
418,chart,விளக்கப்படம்
419,chase,துரத்தல்
420,cheap,மலிவான
421,check,காசோலை
422,cheek,கன்னத்தில்
423,cheese,பாலாடைக்கட்டி
424,chef,சமையல்காரர்
425,chemical,இரசாயன
426,chest,மார்பு
427,chicken,கோழி
428,chief,தலைமை
429,child,குழந்தை
430,childhood,குழந்தை பருவத்தில்
431,Chinese,சீன
432,chip,சிப்
433,chocolate,சாக்லேட்
434,choice,தேர்வு
435,cholesterol,கொழுப்பு
436,choose,தேர்வு
437,Christmas,கிறிஸ்துமஸ்
438,church,தேவாலயத்தில்
439,cigarette,சிகரெட்
440,circle,வட்டம்
441,circumstance,சூழ்நிலையிலும்
442,cite,மேற்கோள்
443,citizen,குடிமகன்
444,city,நகரம்
445,civil,சிவில்
446,civilian,சிவிலியன்
447,claim,கூற்றை
448,class,வர்க்கம்
449,classic,செந்தரம்
450,classroom,வகுப்பறை
451,clean,சுத்தமான
452,clear,தெளிவான
453,clearly,தெளிவாக
454,client,வாடிக்கையாளர்
455,climate,காலநிலை
456,climb,ஏற
457,clinic,சிகிச்சையகம்
458,clinical,மருத்துவ
459,clock,கடிகாரம்
460,close,நெருக்கமான
461,closely,நெருக்கமாக
462,clothes,ஆடைகள்
463,clothing,ஆடை
464,cloud,மேகம்
465,club,சங்கம்
466,clue,துப்பு
467,cluster,கொத்து
468,coach,பயிற்சியாளர்
469,coal,நிலக்கரி
470,coalition,கூட்டணி
471,coast,கடற்கரையில்
472,coat,கோட்
473,code,குறியீடு
474,coffee,கொட்டைவடி நீர்
475,cognitive,அறிவாற்றல்
476,cold,குளிர்
477,collapse,சரிவு
478,colleague,சக
479,collect,திரட்டுதல்
480,collection,சேகரிப்பு
481,collective,கூட்டு
482,college,கல்லூரி
483,colonial,காலனித்துவ
484,color,நிறம்
485,column,பத்தியில்
486,combination,சேர்க்கையை
487,combine,இணைக்க
488,come,வந்து
489,comedy,நகைச்சுவை
490,comfort,ஆறுதல்
491,comfortable,வசதியாக
492,command,கட்டளை
493,commander,தளபதி
494,comment,கருத்து
495,commercial,வணிக
496,commission,தரகு
497,commit,செய்து
498,commitment,அர்ப்பணிப்பு
499,committee,குழு
500,common,பொதுவான
501,communicate,தொடர்பு
502,communication,தொடர்பு
503,community,சமூக
504,company,நிறுவனம்
505,compare,ஒப்பிட்டு
506,comparison,ஒப்பீடு
507,compete,போட்டியிட
508,competition,போட்டி
509,competitive,போட்டி
510,competitor,போட்டியாளர்
511,complain,புகார்
512,complaint,புகார்
513,complete,முழுமை
514,completely,முற்றிலும்
515,complex,சிக்கலான
516,complicated,சிக்கலாக
517,component,கூறு
518,compose,எழுது
519,composition,கலவை
520,comprehensive,விரிவான
521,computer,கணினி
522,concentrate,செறிவுகள்
523,concentration,செறிவு
524,concept,கருத்து
525,concern,அக்கறை
526,concerned,சம்பந்தப்பட்ட
527,concert,கச்சேரி
528,conclude,முடிவுக்கு
529,conclusion,முடிவுரை
530,concrete,கான்கிரீட்
531,condition,நிலை
532,conduct,நடத்தை
533,conference,மாநாட்டில்
534,confidence,நம்பிக்கை
535,confirm,உறுதிசெய்
536,conflict,மோதல்
537,confront,எதிர்கொள்ளச்
538,confusion,குழப்பம்
539,Congress,காங்கிரஸ்
540,congressional,காங்கிரஸ்
541,connect,இணைப்பு
542,connection,இணைப்பு
543,consciousness,உணர்வு
544,consensus,ஒருமித்த
545,consequence,விளைவு
546,conservative,பழமைவாத
547,consider,கருத்தில்
548,considerable,கணிசமான
549,consideration,கருத்தில்
550,consist,கொண்டிருக்கும்
551,consistent,சீரான
552,constant,நிலையான
553,constantly,தொடர்ந்து
554,constitute,உள்ளனர்
555,constitutional,அரசியலமைப்பு
556,construct,கட்டமைப்பாக
557,construction,கட்டுமான
558,consultant,ஆலோசகர்
559,consume,நுகர்வு
560,consumer,நுகர்வோர்
561,consumption,நுகர்வு
562,contact,தொடர்பு
563,contain,கொண்டிருக்கும்
564,container,கொள்கலன்
565,contemporary,சமகால
566,content,உள்ளடக்கம்
567,contest,போட்டியில்
568,context,சூழல்
569,continue,தொடர்ந்து
570,continued,தொடர்ந்து
571,contract,ஒப்பந்த
572,contrast,மாறாக
573,contribute,பங்களிக்க
574,contribution,பங்களிப்பு
575,control,கட்டுப்பாடு
576,controversial,சர்ச்சைக்குரிய
577,controversy,சர்ச்சை
578,convention,மாநாடு
579,conventional,வழக்கமான
580,conversation,உரையாடல்
581,convert,மாறியவன்
582,conviction,தண்டனை
583,convince,சமாதானப்படுத்த
584,cook,சமையல்காரர்
585,cookie,குக்கீ
586,cooking,சமையல்
587,cool,குளிர்
588,cooperation,ஒத்துழைப்பு
589,cop,போலீஸ்
590,cope,சமாளிக்க
591,copy,பிரதியை
592,core,கோர்
593,corn,சோளம்
594,corner,மூலையில்
595,corporate,பெருநிறுவன
596,corporation,மாநகராட்சி
597,correct,சரி
598,correspondent,நிருபர்
599,cost,கட்டண
600,cotton,பருத்தி
601,couch,மஞ்சம்
602,could,முடிந்த
603,council,சபை
604,counselor,ஆலோசகர்
605,count,எண்ண
606,counter,எதிர்
607,country,நாட்டின்
608,county,கவுண்டி
609,couple,ஜோடி
610,courage,தைரியம்
611,course,நிச்சயமாக
612,court,நீதிமன்றம்
613,cousin,உறவினர்
614,cover,கவர்
615,coverage,கவரேஜ்
616,cow,மாடு
617,crack,கிராக்
618,craft,கைவினை
619,crash,விபத்தில்
620,crazy,பைத்தியம்
621,cream,கிரீம்
622,create,உருவாக்க
623,creation,உருவாக்கம்
624,creative,படைப்பு
625,creature,உயிரினம்
626,credit,கடன்
627,crew,குழுவினர்
628,crime,குற்றம்
629,criminal,குற்றவியல்
630,crisis,நெருக்கடி
631,criteria,அடிப்படை
632,critic,விமர்சகர்
633,critical,விமர்சன
634,criticism,திறனாய்வு
635,criticize,விமர்சிக்கத்
636,crop,பயிர்
637,cross,குறுக்கு
638,crowd,கூட்டத்தில்
639,crucial,முக்கியமான
640,cry,கலங்குவது
641,cultural,கலாச்சார
642,culture,கலாச்சாரம்
643,cup,கோப்பை
644,curious,ஆர்வமாக
645,current,தற்போதைய
646,currently,தற்போது
647,curriculum,பாடத்திட்டத்தை
648,custom,விருப்ப
649,customer,வாடிக்கையாளர்
650,cut,வெட்டு
651,cycle,மிதிவண்டி
652,dad,அப்பா
653,daily,தினசரி
654,damage,சேதம்
655,dance,நடனம்
656,danger,ஆபத்து
657,dangerous,ஆபத்தான
658,dare,தைரியம்
659,dark,இருள்
660,darkness,இருள்
661,data,தகவல்கள்
662,date,தேதி
663,daughter,மகள்
664,day,நாள்
665,dead,இறந்த
666,deal,ஒப்பந்தம்
667,dealer,வியாபாரி
668,dear,அன்பே
669,death,இறப்பு
670,debt,கடன்
671,decade,தசாப்தத்தில்
672,decide,முடிவு
673,decision,முடிவு
674,deck,டெக்
675,declare,அறிவிக்கிறோம்
676,decline,சரிவு
677,decrease,குறைவு
678,deep,ஆழமான
679,deeply,ஆழமாக
680,deer,மான்
681,defeat,தோல்வியை
682,defend,பாதுகாக்க
683,defendant,பிரதிவாதி
684,defense,பாதுகாப்பு
685,defensive,தற்காப்பு
686,deficit,பற்றாக்குறை
687,define,வரையறு
688,definitely,நிச்சயமாக
689,definition,வரையறை
690,degree,பட்டம்
691,delay,தாமதம்
692,deliver,வழங்க
693,delivery,விநியோக
694,demand,தேவை
695,democracy,ஜனநாயகம்
696,Democrat,ஜனநாயக
697,demonstrate,நிரூபிக்க
698,demonstration,ஆர்ப்பாட்டம்
699,deny,மறுக்க
700,department,துறை
701,depend,சார்ந்தது
702,dependent,சார்ந்து
703,depending,பொறுத்து
704,depict,சித்தரிக்க
705,depression,மன
706,depth,ஆழம்
707,deputy,துணை
708,derive,அடைவோம்
709,describe,விவரிக்க
710,description,விளக்கம்
711,desert,பாலைவனத்தில்
712,deserve,தகுதி
713,design,வடிவமைப்பு
714,designer,வடிவமைப்பாளர்
715,desire,ஆசை
716,desk,மேசை
717,desperate,ஆற்றொணா
718,despite,போதிலும்
719,destroy,அழிக்க
720,destruction,அழிவு
721,detail,விவரம்
722,detailed,விரிவாக
723,detect,கண்டறிய
724,determine,தீர்மானிக்க
725,develop,உருவாக்க
726,developing,வளரும்
727,development,வளர்ச்சி
728,device,சாதனம்
729,devote,ஒதுக்க
730,dialogue,உரையாடல்
731,die,இறக்க
732,diet,உணவில்
733,differ,வேறுபடுகின்றன
734,difference,வேறுபாடு
735,different,வெவ்வேறு
736,differently,வித்தியாசமாக
737,difficult,கடினமான
738,difficulty,சிரமம்
739,dig,தோண்டுதல் பணி
740,digital,டிஜிட்டல்
741,dimension,பரிமாணம்
742,dining,சாப்பாட்டு
743,dinner,இரவு
744,direct,நேரடி
745,direction,திசையில்
746,directly,நேரடியாக
747,director,இயக்குனர்
748,dirt,அழுக்கு
749,dirty,அழுக்கு
750,disability,இயலாமை
751,disagree,கருத்து வேறுபாடு
752,disappear,மறைந்துவிடும்
753,disaster,பேரழிவு
754,discipline,ஒழுக்கம்
755,discourse,சொற்பொழிவு
756,discover,Discover
757,discovery,கண்டுபிடிப்பு
758,discrimination,பாகுபாடு
759,discuss,விவாதிக்க
760,disease,நோய்
761,dish,சிறு தட்டு
762,dismiss,பதவி நீக்கம்
763,disorder,கோளாறு
764,display,காட்சி
765,dispute,சர்ச்சை
766,distance,தூரம்
767,distant,தொலைதூர
768,distinct,தனித்துவமான
769,distinction,வேறுபாட்டை
770,distinguish,வேறுபடுத்தி
771,distribute,விநியோகிக்க
772,distribution,விநியோகம்
773,district,மாவட்டம்
774,diverse,பல்வேறு
775,diversity,பன்முகத்தன்மை
776,divide,பிரி
777,division,பிரிவு
778,divorce,விவாகரத்து
779,do,செய்
780,doctor,மருத்துவர்
781,document,ஆவணம்
782,dog,நாய்
783,domestic,உள்நாட்டு
784,dominant,மேலாதிக்க
785,dominate,ஆக்கிரமித்திருந்த
786,door,கதவை
787,double,இரட்டை
788,doubt,சந்தேகம்
789,down,கீழ்
790,downtown,நகர
791,dozen,டஜன்
792,draft,வரைவு
793,drag,இழுவை
794,drama,நாடகம்
795,dramatic,வியத்தகு
796,dramatically,வியத்தகு
797,draw,வரை
798,drawing,வரைதல்
799,dress,உடை
800,drink,பானம்
801,drive,இயக்கி
802,driver,இயக்கி
803,drug,மருந்து
804,dry,உலர்ந்த
805,due,காரணமாக
806,during,போது
807,dust,தூசி
808,duty,கடமை
809,each,ஒவ்வொரு
810,eager,ஆர்வமாக
811,early,ஆரம்ப
812,earn,சம்பாதி
813,earnings,வருவாய்
814,earth,பூமியில்
815,ease,எளிதாக்க
816,easily,எளிதாக
817,east,கிழக்கு
818,eastern,கிழக்கு
819,easy,சுலபம்
820,eat,சாப்பிட
821,economic,பொருளாதார
822,economics,பொருளாதாரம்
823,economist,பொருளாதார
824,economy,பொருளாதாரம்
825,edge,விளிம்பில்
826,edition,பதிப்பு
827,editor,ஆசிரியர்
828,educate,கல்வி
829,education,கல்வி
830,educational,கல்வி
831,educator,கல்வியாளர்
832,effect,விளைவு
833,effective,பயனுள்ள
834,effectively,திறம்பட
835,efficiency,திறன்
836,efficient,திறமையான
837,effort,முயற்சி
838,egg,முட்டை
839,eight,எட்டு
840,either,ஒன்று
841,elderly,முதியோர்
842,elect,தேர்வு
843,election,தேர்தல்
844,electric,மின்சார
845,electricity,மின்சாரம்
846,electronic,மின்னணு
847,element,உறுப்பு
848,elementary,தொடக்க
849,eliminate,அகற்ற
850,elite,உயரடுக்கு
851,else,வேறு
852,elsewhere,வேறு
853,e-mail,மின்னஞ்சல்
854,embrace,தழுவி
855,emerge,வெளிப்பட
856,emergency,அவசரம்
857,emission,உமிழ்வு
858,emotion,உணர்ச்சி
859,emotional,உணர்ச்சி
860,emphasis,வலியுறுத்தல்
861,emphasize,வலியுறுத்த
862,employ,பணியாளராக
863,employee,ஊழியர்
864,employer,முதலாளி
865,employment,வேலை
866,empty,காலியாக
867,enable,செயல்படுத்த
868,encounter,என்கவுண்டர்
869,encourage,ஊக்குவிக்க
870,end,இறுதியில்
871,enemy,எதிரி
872,energy,ஆற்றல்
873,enforcement,அமலாக்க
874,engage,ஈடுபட
875,engine,இயந்திரம்
876,engineer,பொறியாளர்
877,engineering,பொறியியல்
878,English,ஆங்கிலம்
879,enhance,அதிகரிக்க
880,enjoy,அனுபவிக்க
881,enormous,மகத்தான
882,enough,போதும்
883,ensure,உறுதி
884,enter,நுழைய
885,enterprise,நிறுவன
886,entertainment,பொழுதுபோக்கு
887,entire,முழு
888,entirely,முற்றிலும்
889,entrance,நுழைவு
890,entry,நுழைவு
891,environment,சூழல்
892,environmental,சுற்றுச்சூழல்
893,episode,அத்தியாயத்தில்
894,equal,சம
895,equally,சமமாக
896,equipment,உபகரணங்கள்
897,era,சகாப்தம்
898,error,பிழை
899,escape,தப்பிக்க
900,especially,குறிப்பாக
901,essay,கட்டுரை
902,essential,அத்தியாவசிய
903,essentially,அடிப்படையில்
904,establish,நிறுவ
905,establishment,ஸ்தாபனத்தின்
906,estate,எஸ்டேட்
907,estimate,மதிப்பீடு
908,etc,போன்றவை
909,ethics,நெறிமுறைகள்
910,ethnic,இன
911,European,ஐரோப்பிய
912,evaluate,மதிப்பீடு
913,even,கூட
914,evening,சாயங்காலம்
915,event,நிகழ்வு
916,eventually,இறுதியில்
917,ever,எப்போதும்
918,every,ஒவ்வொரு
919,everybody,எல்லோருக்கும்
920,everyday,தினமும்
921,everyone,அனைவருக்கும்
922,everything,எல்லாம்
923,everywhere,எல்லா இடங்களிலும்
924,evidence,ஆதாரங்கள்
925,evolution,பரிணாம வளர்ச்சி
926,evolve,கண்டுபிடிக்கலாம்
927,exact,சரியான
928,exactly,சரியாக
929,examination,பரிசோதனை
930,examine,ஆய்வு
931,example,உதாரணமாக
932,exceed,தாண்ட
933,excellent,சிறந்த
934,except,தவிர
935,exception,விதிவிலக்கு
936,exciting,உற்சாகமான
937,executive,நிர்வாகி
938,exercise,உடற்பயிற்சி
939,exhibit,கண்காட்சியின்
940,exhibition,கண்காட்சி
941,exist,இரண்டும் இருக்கக்
942,existence,இருப்பு
943,existing,இருக்கும்
944,expand,விரிவாக்க
945,expansion,விரிவாக்கம்
946,expect,எதிர்பார்க்க
947,expectation,எதிர்பார்ப்பு
948,expense,இழப்பில்
949,expensive,விலையுயர்ந்த
950,experience,அனுபவம்
951,experiment,சோதனை
952,expert,நிபுணர்
953,explain,விளக்க
954,explanation,விளக்கம்
955,explode,வெடிக்க
956,explore,ஆராய
957,explosion,வெடிப்பு
958,expose,அம்பலப்படுத்த
959,exposure,நேரிடுவது
960,express,எக்ஸ்பிரஸ்
961,expression,வெளிப்பாடு
962,extend,நீட்டிக்க
963,extension,நீட்டிப்பு
964,extensive,விரிவான
965,extent,அளவிற்கு
966,external,வெளிப்புற
967,extra,கூடுதல்
968,extraordinary,அசாதாரண
969,extreme,தீவிர
970,extremely,மிகவும்
971,eye,கண்
972,fabric,துணி
973,face,முகம்
974,facility,வசதி
975,fact,உண்மையில்
976,factor,காரணி
977,factory,தொழிற்சாலை
978,faculty,ஆசிரிய
979,fade,ஃபேட்
980,fail,ஃபெயில்
981,failure,தோல்வி
982,fair,நியாயமான
983,fairly,மிகவும்
984,faith,நம்பிக்கை
985,fall,விழும்
986,FALSE,பொய்யா
987,familiar,பழக்கமான
988,family,குடும்ப
989,famous,பிரபலமான
990,fan,ரசிகர்
991,fantasy,கற்பனையான
992,far,இதுவரை
993,farm,விவசாய
994,farmer,உழவர்
995,fashion,ஃபேஷன்
996,fast,வேகமாக
997,fat,கொழுப்பு
998,fate,விதி
999,father,தந்தை
1000,fault,குற்றம்
1001,favor,ஆதரவாக
1002,favorite,பிடித்த
1003,fear,பயம்
1004,feature,அம்சம்
1005,federal,கூட்டாட்சியின்
1006,fee,கட்டணம்
1007,feed,ஊட்டம்
1008,feel,உணர
1009,feeling,உணர்வு
1010,fellow,சக
1011,female,பெண்
1012,fence,வேலி
1013,few,சில
1014,fewer,குறைவான
1015,fiber,நார்
1016,fiction,புனைவு
1017,field,துறையில்
1018,fifteen,பதினைந்து
1019,fifth,ஐந்தாவது
1020,fifty,ஐம்பது
1021,fight,சண்டை
1022,fighter,போர்
1023,fighting,சண்டை
1024,figure,எண்ணிக்கை
1025,file,கோப்பு
1026,fill,நிரப்பு
1027,film,படம்
1028,final,இறுதி
1029,finally,இறுதியாக
1030,finance,நிதி
1031,financial,நிதி
1032,find,கண்டுபிடிக்க
1033,finding,கண்டுபிடிப்பு
1034,fine,நன்றாக
1035,finger,விரல்
1036,finish,பூச்சு
1037,fire,தீ
1038,firm,நிறுவனம்
1039,first,முதல்
1040,fish,மீன்
1041,fishing,மீன்பிடி
1042,fit,பொருத்தம்
1043,five,ஐந்து
1044,fix,திருத்தம்
1045,flag,கொடியை
1046,flame,சுடர்
1047,flat,பிளாட்
1048,flavor,சுவை
1049,flee,தப்பியோட
