ENGLISH,TAMIL
ancient,பண்டைய
and,மற்றும்
anger,கோபம்
angle,கோணம்
angry,கோபம்
animal,கால்நடை
anniversary,ஆண்டு
announce,அறிவிக்க
annual,வருடாந்திர
another,மற்றொரு
answer,பதில்
anticipate,எதிர்பார்க்கின்றனர்
anxiety,பதட்டம்
any,எந்த
anybody,யாரையும்
anymore,இனி
anyone,யாரையும்
anything,எதுவும்
anyway,எப்படியும்
anywhere,எங்கும்
apart,தவிர
apartment,அடுக்குமாடி இல்லங்கள்
apparent,வெளிப்படையான
apparently,வெளிப்படையாக
appeal,முறையீடு
appear,தோன்றும்
appearance,தோற்றம்
apple,ஆப்பிள்
application,விண்ணப்பம்
apply,விண்ணப்பிக்க
appoint,நியமிக்க
appointment,நியமனம்
appreciate,பாராட்ட
approach,அணுகுமுறை
appropriate,பொருத்தமான
approval,ஒப்புதல்
approve,ஒப்புதல்
approximately,சுமார்
Arab,அரபு
architect,கட்டட வடிவமைப்பாளர்
area,பகுதியில்
argue,வாதிடுகின்றனர்
argument,வாதம்
arise,எழுகின்றன
arm,கை
armed,ஆயுதங்கள்
army,இராணுவம்
around,சுற்றி
arrange,ஏற்பாடு
arrangement,ஏற்பாடு
arrest,கைது
arrival,வருகையை
arrive,வரும்
art,கலை
article,கட்டுரை
artist,கலைஞர்
artistic,கலை
as,போன்ற
Asian,ஆசிய
aside,ஒதுக்கி
ask,கேட்க
asleep,தூங்கும்
aspect,அம்சம்
assault,தாக்குதல்
assert,வலியுறுத்தும்
assess,மதிப்பீடு
assessment,மதிப்பீடு
asset,சொத்து
assign,ஒதுக்க
assignment,வேலையை
assist,உதவு
assistance,உதவி
assistant,உதவியாளர்
associate,இணை
association,சங்கம்
assume,கருதுவது
assumption,அனுமானம்
assure,உறுதி
at,மணிக்கு
athlete,தடகள
athletic,தடகள
atmosphere,வளிமண்டலத்தில்
attach,இணைக்கவும்
attack,தாக்குதல்
attempt,முயற்சிக்கும்
attend,இக் கூட்டத்திற்கு
attention,கவனம்
attitude,அணுகுமுறை
attorney,வழக்கறிஞர்
attract,ஈர்க்க
attractive,கவர்ச்சிகரமான
attribute,பண்பு
audience,பார்வையாளர்களை
author,நூலாசிரியர்
authority,அதிகாரம்
auto,கார்
available,கிடைக்கும்
average,சராசரி
avoid,தவிர்க்க
award,விருது
aware,விழிப்புடன்
awareness,விழிப்புணர்வு
away,விட்டு
awful,மோசமான
baby,குழந்தை
back,மீண்டும்
background,பின்னணி
bad,கெட்ட
badly,மோசமாக
bag,பையில்
bake,ரொட்டி சுடுவது
balance,சமநிலை
ball,பந்து
ban,தடை
band,இசைக்குழு
bank,வங்கி
bar,மதுக்கூடம்
barely,அரிதாகவே
barrel,பீப்பாய்
barrier,தடை
base,அடித்தளம்
baseball,பேஸ்பால்
basic,அடிப்படை
basically,அடிப்படையில்
basis,அடிப்படையில்
basket,கூடை
basketball,கூடைப்பந்து
bathroom,குளியலறையில்
battery,மின்கலம்
battle,போர்
be,இரு
beach,கடற்கரை
bean,பீன்
bear,தாங்க
beat,அடி
beautiful,அழகு
beauty,அழகு
because,ஏனெனில்
become,ஆக
bed,படுக்கையில்
bedroom,படுக்கையறை
beer,பீர்
before,முன்
begin,தொடங்கும்
beginning,தொடக்கத்தில்
behavior,நடத்தை
behind,பின்னால்
being,இருப்பு
belief,நம்பிக்கை
believe,நம்பிக்கை
bell,மணி
belong,உரியதாகும்
below,கீழே
belt,பெல்ட்
bench,பெஞ்ச்
bend,வளைவு
beneath,கீழே
benefit,நன்மை
beside,அருகில்
besides,தவிர
best,சிறந்த
bet,பந்தயம்
better,சிறந்த
between,இடையே
beyond,அப்பால்
Bible,திருவிவிலியம்
big,பெரிய
bike,உந்துஉருளி
bill,ர சி து
billion,பில்லியன்
bind,கட்டுதல்
biological,உயிரியல்
bird,பறவை
birth,பிறந்த
birthday,பிறந்த நாள்
bit,பிட்
bite,கடிக்க
black,கருப்பு
blade,கத்தி
blame,பழி
blanket,போர்வை
blind,குருட்டு
block,தொகுதி
blood,இரத்தம்
blow,அடி
blue,நீல
board,குழு
boat,படகு
body,உடல்
bomb,குண்டு
bombing,குண்டு
bond,பத்திரம்
bone,எலும்பு
book,நூல்
boom,பூம்
boot,துவக்க
border,எல்லை
born,பிறந்த
borrow,கடன்
boss,முதலாளி
both,இருவரும்
bother,தொந்தரவு
bottle,பாட்டில்
bottom,கீழே
boundary,எல்லை
bowl,கிண்ணத்தில்
box,பெட்டி
boy,சிறுவன்
boyfriend,காதலன்
brain,மூளை
branch,கிளை
brand,பிராண்ட்
bread,ரொட்டி
break,இடைவெளி
breakfast,காலை
breast,மார்பக
breath,மூச்சு
breathe,மூச்சு
brick,செங்கல்
bridge,பாலம்
brief,சுருக்கமான
briefly,சுருக்கமாக
bright,பிரகாசமான
brilliant,புத்திசாலித்தனமான
bring,கொண்டு
British,பிரிட்டிஷ்
broad,பரந்த
broken,உடைந்த
brother,சகோதரன்
brown,பழுப்பு
brush,தூரிகை
buck,பக்
budget,பட்ஜெட்
build,உருவாக்க
building,கட்டிடம்
bullet,புல்லட்
bunch,கொத்து
burden,சுமை
burn,எரிக்க
bury,அடக்கம்
bus,பேருந்து
business,வணிக
busy,பரபரப்பு
but,ஆனாலும்
butter,வெண்ணெய்
button,பொத்தானை
buy,வாங்க
buyer,வாங்குபவர்
by,மூலம்
cabin,கேபின்
cabinet,மந்திரி சபை
cable,கேபிள்
cake,கேக்
calculate,கணிப்பது
call,அழைப்பு
camera,புகைப்பட கருவி
camp,முகாம்
campaign,பிரச்சாரம்
campus,வளாகத்தில்
can,முடியும்
Canadian,கனடிய
cancer,புற்றுநோய்
candidate,வேட்பாளர்
cap,தொப்பி
capability,திறன்
capable,திறன்
capacity,திறன்
capital,தலைநகர்
captain,கேப்டன்
capture,பிடிப்பு
car,கார்
carbon,கார்பன்
card,அட்டை
care,பராமரிப்பு
career,வாழ்க்கை
careful,கவனமாக
carefully,கவனமாக
carrier,கேரியர்
carry,கேரி
case,வழக்கு
cash,பணம்
cast,நடிகர்கள்
cat,பூனை
catch,பிடி
category,வகை
Catholic,கத்தோலிக்க
cause,காரணம்
ceiling,உச்சவரம்பு
celebrate,கொண்டாட
celebration,கொண்டாட்டம்
celebrity,பிரபல
cell,செல்
center,சென்டர்
central,மத்திய
century,நூற்றாண்டு
CEO,தலைமை நிர்வாக அதிகாரி
ceremony,விழா
certain,சில
certainly,நிச்சயமாக
chain,சங்கிலி
chair,நாற்காலி
chairman,தலைவர்
challenge,சவால்
chamber,அறை
champion,சாம்பியன்
championship,சாம்பியன்ஷிப்
chance,வாய்ப்பு
change,மாற்றம்
changing,மாறிவரும்
channel,சேனல்
chapter,அத்தியாயம்
character,பாத்திரம்
characteristic,பண்பு
characterize,குணாதிசயம்
charge,கட்டணம்
charity,தொண்டு
chart,விளக்கப்படம்
chase,துரத்தல்
cheap,மலிவான
check,காசோலை
cheek,கன்னத்தில்
cheese,பாலாடைக்கட்டி
chef,சமையல்காரர்
chemical,இரசாயன
chest,மார்பு
chicken,கோழி
chief,தலைமை
child,குழந்தை
childhood,குழந்தை பருவத்தில்
Chinese,சீன
chip,சிப்
chocolate,சாக்லேட்
choice,தேர்வு
cholesterol,கொழுப்பு
choose,தேர்வு
Christian,கிறிஸ்துவர்
Christmas,கிறிஸ்துமஸ்
church,தேவாலயத்தில்
cigarette,சிகரெட்
circle,வட்டம்
circumstance,சூழ்நிலையிலும்
cite,மேற்கோள்
citizen,குடிமகன்
city,நகரம்
civil,சிவில்
civilian,சிவிலியன்
claim,கூற்றை
class,வர்க்கம்
classic,செந்தரம்
classroom,வகுப்பறை
clean,சுத்தமான
clear,தெளிவான
clearly,தெளிவாக
client,வாடிக்கையாளர்
climate,காலநிலை
climb,ஏற
clinic,சிகிச்சையகம்
clinical,மருத்துவ
clock,கடிகாரம்
close,நெருக்கமான
closely,நெருக்கமாக
closer,நெருக்கமான
clothes,ஆடைகள்
clothing,ஆடை
cloud,மேகம்
club,சங்கம்
clue,துப்பு
cluster,கொத்து
coach,பயிற்சியாளர்
coal,நிலக்கரி
coalition,கூட்டணி
coast,கடற்கரையில்
coat,கோட்
code,குறியீடு
coffee,கொட்டைவடி நீர்
cognitive,அறிவாற்றல்
cold,குளிர்
collapse,சரிவு
colleague,சக
collect,திரட்டுதல்
collection,சேகரிப்பு
collective,கூட்டு
college,கல்லூரி
colonial,காலனித்துவ
color,நிறம்
column,பத்தியில்
combination,சேர்க்கையை
combine,இணைக்க
come,வந்து
comedy,நகைச்சுவை
comfort,ஆறுதல்
comfortable,வசதியாக
command,கட்டளை
commander,தளபதி
comment,கருத்து
commercial,வணிக
commission,தரகு
commit,செய்து
commitment,அர்ப்பணிப்பு
committee,குழு
common,பொதுவான
communicate,தொடர்பு
communication,தொடர்பு
community,சமூக
company,நிறுவனம்
compare,ஒப்பிட்டு
comparison,ஒப்பீடு
compete,போட்டியிட
competition,போட்டி
competitive,போட்டி
competitor,போட்டியாளர்
complain,புகார்
complaint,புகார்
complete,முழுமை
completely,முற்றிலும்
complex,சிக்கலான
complicated,சிக்கலாக
component,கூறு
compose,எழுது
composition,கலவை
comprehensive,விரிவான
computer,கணினி
concentrate,செறிவுகள்
concentration,செறிவு
concept,கருத்து
concern,அக்கறை
concerned,சம்பந்தப்பட்ட
concert,கச்சேரி
conclude,முடிவுக்கு
conclusion,முடிவுரை
concrete,கான்கிரீட்
condition,நிலை
conduct,நடத்தை
conference,மாநாட்டில்
confidence,நம்பிக்கை
confident,நம்பிக்கை
confirm,உறுதிசெய்
conflict,மோதல்
confront,எதிர்கொள்ளச்
confusion,குழப்பம்
Congress,காங்கிரஸ்
congressional,காங்கிரஸ்
connect,இணைப்பு
connection,இணைப்பு
consciousness,உணர்வு
consensus,ஒருமித்த
consequence,விளைவு
conservative,பழமைவாத
consider,கருத்தில்
considerable,கணிசமான
consideration,கருத்தில்
consist,கொண்டிருக்கும்
consistent,சீரான
constant,நிலையான
constantly,தொடர்ந்து
constitute,உள்ளனர்
constitutional,அரசியலமைப்பு
construct,கட்டமைப்பாக
construction,கட்டுமான
consultant,ஆலோசகர்
consume,நுகர்வு
consumer,நுகர்வோர்
consumption,நுகர்வு
contact,தொடர்பு
contain,கொண்டிருக்கும்
container,கொள்கலன்
contemporary,சமகால
content,உள்ளடக்கம்
contest,போட்டியில்
context,சூழல்
continue,தொடர்ந்து
continued,தொடர்ந்து
contract,ஒப்பந்த
contrast,மாறாக
contribute,பங்களிக்க
contribution,பங்களிப்பு
control,கட்டுப்பாடு
controversial,சர்ச்சைக்குரிய
controversy,சர்ச்சை
convention,மாநாடு
conventional,வழக்கமான
conversation,உரையாடல்
convert,மாறியவன்
conviction,தண்டனை
convince,சமாதானப்படுத்த
cook,சமையல்காரர்
cookie,குக்கீ
cooking,சமையல்
cool,குளிர்
cooperation,ஒத்துழைப்பு
cop,போலீஸ்
cope,சமாளிக்க
copy,பிரதியை
core,கோர்
corn,சோளம்
corner,மூலையில்
corporate,பெருநிறுவன
corporation,மாநகராட்சி
correct,சரி
correspondent,நிருபர்
cost,கட்டண
cotton,பருத்தி
couch,மஞ்சம்
could,முடிந்த
council,சபை
counselor,ஆலோசகர்
count,எண்ண
counter,எதிர்
country,நாட்டின்
county,கவுண்டி
couple,ஜோடி
courage,தைரியம்
course,நிச்சயமாக
court,நீதிமன்றம்
cousin,உறவினர்
cover,கவர்
coverage,கவரேஜ்
cow,மாடு
crack,கிராக்
craft,கைவினை
crash,விபத்தில்
crazy,பைத்தியம்
cream,கிரீம்
create,உருவாக்க
creation,உருவாக்கம்
creative,படைப்பு
creature,உயிரினம்
credit,கடன்
crew,குழுவினர்
crime,குற்றம்
criminal,குற்றவியல்
crisis,நெருக்கடி
criteria,அடிப்படை
critic,விமர்சகர்
critical,விமர்சன
criticism,திறனாய்வு
criticize,விமர்சிக்கத்
crop,பயிர்
cross,குறுக்கு
crowd,கூட்டத்தில்
crucial,முக்கியமான
cry,கலங்குவது
cultural,கலாச்சார
culture,கலாச்சாரம்
cup,கோப்பை
curious,ஆர்வமாக
current,தற்போதைய
currently,தற்போது
curriculum,பாடத்திட்டத்தை
custom,விருப்ப
customer,வாடிக்கையாளர்
cut,வெட்டு
cycle,மிதிவண்டி
dad,அப்பா
daily,தினசரி
damage,சேதம்
dance,நடனம்
danger,ஆபத்து
dangerous,ஆபத்தான
dare,தைரியம்
dark,இருள்
darkness,இருள்
data,தகவல்கள்
date,தேதி
daughter,மகள்
day,நாள்
dead,இறந்த
deal,ஒப்பந்தம்
dealer,வியாபாரி
dear,அன்பே
death,இறப்பு
debate,விவாதம்
debt,கடன்
decade,தசாப்தத்தில்
decide,முடிவு
decision,முடிவு
deck,டெக்
declare,அறிவிக்கிறோம்
decline,சரிவு
decrease,குறைவு
deep,ஆழமான
deeply,ஆழமாக
deer,மான்
defeat,தோல்வியை
defend,பாதுகாக்க
defendant,பிரதிவாதி
defense,பாதுகாப்பு
defensive,தற்காப்பு
deficit,பற்றாக்குறை
define,வரையறு
definitely,நிச்சயமாக
definition,வரையறை
degree,பட்டம்
delay,தாமதம்
deliver,வழங்க
delivery,விநியோக
demand,தேவை
democracy,ஜனநாயகம்
Democrat,ஜனநாயக
democratic,ஜனநாயக
demonstrate,நிரூபிக்க
demonstration,ஆர்ப்பாட்டம்
deny,மறுக்க
department,துறை
depend,சார்ந்தது
dependent,சார்ந்து
depending,பொறுத்து
depict,சித்தரிக்க
depression,மன
depth,ஆழம்
deputy,துணை
derive,அடைவோம்
describe,விவரிக்க
description,விளக்கம்
desert,பாலைவனத்தில்
deserve,தகுதி
design,வடிவமைப்பு
designer,வடிவமைப்பாளர்
desire,ஆசை
desk,மேசை
desperate,ஆற்றொணா
despite,போதிலும்
destroy,அழிக்க
destruction,அழிவு
detail,விவரம்
detailed,விரிவாக
detect,கண்டறிய
determine,தீர்மானிக்க
develop,உருவாக்க
developing,வளரும்
development,வளர்ச்சி
device,சாதனம்
devote,ஒதுக்க
dialogue,உரையாடல்
die,இறக்க
diet,உணவில்
differ,வேறுபடுகின்றன
difference,வேறுபாடு
different,வெவ்வேறு
differently,வித்தியாசமாக
difficult,கடினமான
difficulty,சிரமம்
dig,தோண்டுதல் பணி
digital,டிஜிட்டல்
dimension,பரிமாணம்
dining,சாப்பாட்டு
dinner,இரவு
direct,நேரடி
direction,திசையில்
directly,நேரடியாக
director,இயக்குனர்
dirt,அழுக்கு
dirty,அழுக்கு
disability,இயலாமை
disagree,கருத்து வேறுபாடு
disappear,மறைந்துவிடும்
disaster,பேரழிவு
discipline,ஒழுக்கம்
discourse,சொற்பொழிவு
discover,Discover
discovery,கண்டுபிடிப்பு
discrimination,பாகுபாடு
discuss,விவாதிக்க
discussion,விவாதம்
disease,நோய்
dish,சிறு தட்டு
dismiss,பதவி நீக்கம்
disorder,கோளாறு
display,காட்சி
dispute,சர்ச்சை
distance,தூரம்
distant,தொலைதூர
distinct,தனித்துவமான
distinction,வேறுபாட்டை
distinguish,வேறுபடுத்தி
distribute,விநியோகிக்க
distribution,விநியோகம்
district,மாவட்டம்
diverse,பல்வேறு
diversity,பன்முகத்தன்மை
divide,பிரி
division,பிரிவு
divorce,விவாகரத்து
DNA,டிஎன்ஏ
do,செய்
doctor,மருத்துவர்
document,ஆவணம்
dog,நாய்
domestic,உள்நாட்டு
dominant,மேலாதிக்க
dominate,ஆக்கிரமித்திருந்த
door,கதவை
double,இரட்டை
doubt,சந்தேகம்
down,கீழ்
downtown,நகர
dozen,டஜன்
draft,வரைவு
drag,இழுவை
drama,நாடகம்
dramatic,வியத்தகு
dramatically,வியத்தகு
draw,வரை
drawing,வரைதல்
dream,கனவு
dress,உடை
drink,பானம்
drive,இயக்கி
driver,இயக்கி
drop,கைவிட
drug,மருந்து
dry,உலர்ந்த
due,காரணமாக
during,போது
dust,தூசி
duty,கடமை
each,ஒவ்வொரு
eager,ஆர்வமாக
ear,காது
early,ஆரம்ப
earn,சம்பாதி
earnings,வருவாய்
earth,பூமியில்
ease,எளிதாக்க
easily,எளிதாக
east,கிழக்கு
eastern,கிழக்கு
easy,சுலபம்
eat,சாப்பிட
economic,பொருளாதார
economics,பொருளாதாரம்
economist,பொருளாதார
economy,பொருளாதாரம்
edge,விளிம்பில்
edition,பதிப்பு
editor,ஆசிரியர்
educate,கல்வி
education,கல்வி
educational,கல்வி
educator,கல்வியாளர்
effect,விளைவு
effective,பயனுள்ள
effectively,திறம்பட
efficiency,திறன்
efficient,திறமையான
effort,முயற்சி
egg,முட்டை
eight,எட்டு
either,ஒன்று
elderly,முதியோர்
elect,தேர்வு
election,தேர்தல்
electric,மின்சார
electricity,மின்சாரம்
electronic,மின்னணு
element,உறுப்பு
elementary,தொடக்க
eliminate,அகற்ற
elite,உயரடுக்கு
else,வேறு
elsewhere,வேறு
e-mail,மின்னஞ்சல்
embrace,தழுவி
emerge,வெளிப்பட
emergency,அவசரம்
emission,உமிழ்வு
emotion,உணர்ச்சி
emotional,உணர்ச்சி
emphasis,வலியுறுத்தல்
emphasize,வலியுறுத்த
employ,பணியாளராக
employee,ஊழியர்
employer,முதலாளி
employment,வேலை
empty,காலியாக
enable,செயல்படுத்த
encounter,என்கவுண்டர்
encourage,ஊக்குவிக்க
end,இறுதியில்
enemy,எதிரி
energy,ஆற்றல்
enforcement,அமலாக்க
engage,ஈடுபட
engine,இயந்திரம்
engineer,பொறியாளர்
engineering,பொறியியல்
English,ஆங்கிலம்
enhance,அதிகரிக்க
enjoy,அனுபவிக்க
enormous,மகத்தான
enough,போதும்
ensure,உறுதி
enter,நுழைய
enterprise,நிறுவன
entertainment,பொழுதுபோக்கு
entire,முழு
entirely,முற்றிலும்
entrance,நுழைவு
entry,நுழைவு
environment,சூழல்
environmental,சுற்றுச்சூழல்
episode,அத்தியாயத்தில்
equal,சம
equally,சமமாக
equipment,உபகரணங்கள்
era,சகாப்தம்
error,பிழை
escape,தப்பிக்க
especially,குறிப்பாக
essay,கட்டுரை
essential,அத்தியாவசிய
essentially,அடிப்படையில்
establish,நிறுவ
establishment,ஸ்தாபனத்தின்
estate,எஸ்டேட்
estimate,மதிப்பீடு
etc,போன்றவை
ethics,நெறிமுறைகள்
ethnic,இன
European,ஐரோப்பிய
evaluate,மதிப்பீடு
evaluation,மதிப்பீடு
even,கூட
evening,சாயங்காலம்
event,நிகழ்வு
eventually,இறுதியில்
ever,எப்போதும்
every,ஒவ்வொரு
everybody,எல்லோருக்கும்
everyday,தினமும்
everyone,அனைவருக்கும்
everything,எல்லாம்
everywhere,எல்லா இடங்களிலும்
evidence,ஆதாரங்கள்
evolution,பரிணாம வளர்ச்சி
evolve,கண்டுபிடிக்கலாம்
exact,சரியான
exactly,சரியாக
examination,பரிசோதனை
examine,ஆய்வு
example,உதாரணமாக
exceed,தாண்ட
excellent,சிறந்த
except,தவிர
exception,விதிவிலக்கு
exchange,பரிமாற்றம்
exciting,உற்சாகமான
executive,நிர்வாகி
exercise,உடற்பயிற்சி
exhibit,கண்காட்சியின்
exhibition,கண்காட்சி
exist,இரண்டும் இருக்கக்
existence,இருப்பு
existing,இருக்கும்
expand,விரிவாக்க
expansion,விரிவாக்கம்
expect,எதிர்பார்க்க
expectation,எதிர்பார்ப்பு
expense,இழப்பில்
expensive,விலையுயர்ந்த
experience,அனுபவம்
experiment,சோதனை
expert,நிபுணர்
explain,விளக்க
explanation,விளக்கம்
explode,வெடிக்க
explore,ஆராய
explosion,வெடிப்பு
expose,அம்பலப்படுத்த
exposure,நேரிடுவது
express,எக்ஸ்பிரஸ்
expression,வெளிப்பாடு
extend,நீட்டிக்க
extension,நீட்டிப்பு
extensive,விரிவான
extent,அளவிற்கு
external,வெளிப்புற
extra,கூடுதல்
extraordinary,அசாதாரண
extreme,தீவிர
extremely,மிகவும்
eye,கண்
fabric,துணி
face,முகம்
facility,வசதி
fact,உண்மையில்
factor,காரணி
factory,தொழிற்சாலை
faculty,ஆசிரிய
fade,ஃபேட்
fail,ஃபெயில்
failure,தோல்வி
fair,நியாயமான
fairly,மிகவும்
faith,நம்பிக்கை
fall,விழும்
FALSE,பொய்யா
familiar,பழக்கமான
family,குடும்ப
famous,பிரபலமான
fan,ரசிகர்
fantasy,கற்பனையான
far,இதுவரை
farm,விவசாய
farmer,உழவர்
fashion,ஃபேஷன்
fast,வேகமாக
fat,கொழுப்பு
fate,விதி
father,தந்தை
fault,குற்றம்
favor,ஆதரவாக
favorite,பிடித்த
fear,பயம்
feature,அம்சம்
federal,கூட்டாட்சியின்
fee,கட்டணம்
feed,ஊட்டம்
feel,உணர
feeling,உணர்வு
fellow,சக
female,பெண்
fence,வேலி
few,சில
fewer,குறைவான
fiber,நார்
fiction,புனைவு
field,துறையில்
fifteen,பதினைந்து
fifth,ஐந்தாவது
fifty,ஐம்பது
fight,சண்டை
fighter,போர்
fighting,சண்டை
figure,எண்ணிக்கை
file,கோப்பு
fill,நிரப்பு
film,படம்
final,இறுதி
finally,இறுதியாக
finance,நிதி
financial,நிதி
find,கண்டுபிடிக்க
finding,கண்டுபிடிப்பு
fine,நன்றாக
finger,விரல்
finish,பூச்சு
fire,தீ
firm,நிறுவனம்
first,முதல்
fish,மீன்
fishing,மீன்பிடி
fit,பொருத்தம்
fitness,உடற்பயிற்சி
five,ஐந்து
fix,திருத்தம்
flag,கொடியை
flame,சுடர்
flat,பிளாட்
flavor,சுவை
flee,தப்பியோட
flesh,சதை
flight,விமான
float,மிதவை
floor,தரை
flow,ஓட்டம்
flower,பூ
fly,ஈ
focus,கவனம்
folk,நாட்டுப்புற
follow,பின்பற்ற
following,பின்வரும்
food,உணவு
foot,கால்
football,கால்பந்து
for,ஐந்து
force,படை
foreign,வெளிநாட்டு
forest,காட்டில்
forever,என்றென்றும்
forget,மறக்க
form,வடிவம்
formal,முறையான
formation,உருவாக்கம்
former,முன்னாள்
formula,சூத்திரம்
forth,முன்னும் பின்னுமாக
fortune,அதிர்ஷ்டம்
forward,முன்னோக்கி
found,கண்டறியப்பட்டது
foundation,அடித்தளம்
founder,நிறுவனர்
four,நான்கு
fourth,நான்காவது
frame,சட்ட
framework,கட்டமைப்பை
free,இலவச
freedom,சுதந்திரம்
freeze,உறைய
French,பிரஞ்சு
frequency,அதிர்வெண்
frequent,அடிக்கடி
frequently,அடிக்கடி
fresh,புதிய
friend,நண்பர்
friendly,நட்பாக
friendship,நட்பு
from,இருந்து
front,முன்
fruit,பழம்
frustration,ஏமாற்றம்
fuel,எரிபொருள்
full,முழு
fully,முழுமையாக
fun,வேடிக்கை
function,செயல்பாடு
fund,நிதி
fundamental,அடிப்படை
funding,நிதி
funeral,இறுதி சடங்கு
funny,வேடிக்கையான
furniture,மரச்சாமான்களை
furthermore,மேலும்
future,எதிர்கால
gain,ஆதாயம்
galaxy,விண்மீன்
gallery,கேலரி
game,விளையாட்டு
gang,கும்பல்
gap,இடைவெளி
garage,கேரேஜ்
garden,தோட்டத்தில்
garlic,பூண்டு
gas,எரிவாயு
gate,வாயில்
gather,சேகரிக்க
gay,கே
gaze,பார்வையின்
gear,கியர்
gender,பாலினம்
gene,மரபணு
general,பொது
generally,பொதுவாக
generate,உருவாக்க
generation,தலைமுறை
genetic,மரபணு
gentleman,நற்பண்புகள் கொண்டவர்
gently,மெதுவாக
German,ஜெர்மன்
gesture,சைகை
get,பெறு
ghost,பேய்
giant,மாபெரும்
gift,பரிசு
gifted,திறமையுள்ளவர்கள்
girl,பெண்
girlfriend,காதலி
give,கொடுக்க
given,கொடுக்கப்பட்ட
glad,மகிழ்ச்சி
glance,பார்வையில்
glass,கண்ணாடி
global,உலக
glove,கையுறை
go,போ
goal,இலக்கு
God,இறைவன்
gold,தங்கம்
golden,தங்க
golf,கோல்ப்
good,நல்ல
government,அரசாங்கம்
governor,கவர்னர்
grab,கிராப்
grade,தர
gradually,படிப்படியாக
graduate,பட்டதாரி
grain,தானிய
grand,மாபெரும்
grandfather,தாத்தா
grandmother,பாட்டி
grant,கிராண்ட்
grass,புல்
grave,கல்லறை
gray,சாம்பல்
great,நன்று
greatest,பெரிய
green,பச்சை
grocery,மளிகை
ground,தரையில்
group,குழு
grow,வளர
growing,வளர்ந்து வரும்
growth,வளர்ச்சி
guarantee,உத்தரவாதம்
guard,பாதுகாப்பு
guess,யூகிக்க
guest,விருந்தினர்
guide,வழிகாட்டி
guideline,வழிகாட்டு
guilty,குற்ற உணர்வு
gun,துப்பாக்கி
guy,பையன்
habit,பழக்கம்
habitat,வாழ்விடம்
hair,முடி
half,அரை
hall,மண்டபம்
hand,கை
handful,சில
handle,கைப்பிடி
hang,செயலிழப்பு
happen,நடக்கும்
happy,சந்தோஷமாக
hard,கடின
hardly,அரிதாகத்தான்
hat,தொப்பி
hate,வெறுப்பு
have,வேண்டும்
he,அவர்
head,தலை
headline,தலைப்பு
headquarters,தலைமையகத்தில்
health,சுகாதார
healthy,ஆரோக்கியமான
hear,கேள்
hearing,விசாரணை
heart,இதயம்
heat,வெப்பம்
heaven,சொர்க்கம்
heavily,பெரிதும்
heavy,கனரக
heel,ஹீல்
height,உயரம்
